Liga,Saison,Team,Marktwert,Platzierung,Punkte
Premier-league,2018,Manchester United,797600000,6 ,66
Premier-league,2018,FC Arsenal,659050000,5 ,70
Premier-league,2018,FC Everton,529100000,8 ,54
Premier-league,2018,Leicester City,434100000,9 ,52
Premier-league,2018,West Ham United,359000000,10 ,52
Premier-league,2018,AFC Bournemouth,310000000,14 ,45
Premier-league,2018,FC Southampton,305400000,16 ,39
Premier-league,2018,Wolverhampton Wanderers,302900000,7 ,57
Premier-league,2018,Crystal Palace,289000000,12 ,49
Premier-league,2018,FC Fulham,254250000,19 ,26
Premier-league,2018,Newcastle United,244650000,13 ,45
Premier-league,2018,FC Watford,239100000,11 ,50
Premier-league,2018,FC Burnley,197250000,15 ,40
Premier-league,2018,Brighton & Hove Albion,194350000,17 ,36
Premier-league,2018,Huddersfield Town,137450000,20 ,16
Premier-league,2018,Cardiff City,113000000,18 ,34
Premier-league,2019,Manchester City,105 Mrd. €,2 ,81
Premier-league,2019,FC Liverpool,100 Mrd. €,1 ,99
Premier-league,2019,Tottenham Hotspur,806800000,6 ,59
Premier-league,2019,FC Chelsea,705850000,4 ,66
Premier-league,2019,Manchester United,670450000,3 ,66
Premier-league,2019,FC Arsenal,607650000,8 ,56
Premier-league,2019,FC Everton,420550000,12 ,49
Premier-league,2019,Leicester City,411100000,5 ,62
Premier-league,2019,Wolverhampton Wanderers,320330000,7 ,59
Premier-league,2019,West Ham United,303600000,16 ,39
Premier-league,2019,AFC Bournemouth,272180000,18 ,34
Premier-league,2019,Newcastle United,252480000,13 ,44
Premier-league,2019,Aston Villa,231700000,17 ,35
Premier-league,2019,FC Southampton,210750000,11 ,52
Premier-league,2019,Brighton & Hove Albion,200780000,15 ,41
Premier-league,2019,FC Watford,199600000,19 ,34
Premier-league,2019,Crystal Palace,189330000,14 ,43
Premier-league,2019,FC Burnley,163880000,10 ,54
Premier-league,2019,Norwich City,145330000,20 ,21
Premier-league,2019,Sheffield United,138600000,9 ,54
Premier-league,2020,Manchester City,104 Mrd. €,1 ,86
Premier-league,2020,FC Liverpool,969650000,3 ,69
Premier-league,2020,FC Chelsea,889200000,4 ,67
Premier-league,2020,Manchester United,770050000,2 ,74
Premier-league,2020,Tottenham Hotspur,703500000,7 ,62
Premier-league,2020,FC Arsenal,619250000,8 ,61
Premier-league,2020,FC Everton,511200000,10 ,59
Premier-league,2020,Leicester City,510700000,5 ,66
Premier-league,2020,Wolverhampton Wanderers,450300000,13 ,45
Premier-league,2020,Aston Villa,430750000,11 ,55
Premier-league,2020,West Ham United,334900000,6 ,65
Premier-league,2020,Brighton & Hove Albion,290400000,16 ,41
Premier-league,2020,FC Southampton,282800000,15 ,43
Premier-league,2020,Newcastle United,255350000,12 ,45
Premier-league,2020,FC Fulham,239750000,18 ,28
Premier-league,2020,Leeds United,238100000,9 ,59
Premier-league,2020,Crystal Palace,193850000,14 ,44
Premier-league,2020,Sheffield United,149850000,20 ,23
Premier-league,2020,West Bromwich Albion,141150000,19 ,26
Premier-league,2020,FC Burnley,132300000,17 ,39
Premier-league,2021,Manchester City,100 Mrd. €,1 ,93
Premier-league,2021,FC Liverpool,918900000,2 ,92
Premier-league,2021,FC Chelsea,914500000,3 ,74
Premier-league,2021,Manchester United,769150000,6 ,58
Premier-league,2021,Tottenham Hotspur,689350000,4 ,71
Premier-league,2021,FC Arsenal,613050000,5 ,69
Premier-league,2021,Leicester City,526550000,8 ,52
Premier-league,2021,Aston Villa,487750000,14 ,45
Premier-league,2021,FC Everton,479050000,16 ,39
Premier-league,2021,Wolverhampton Wanderers,376950000,10 ,51
Premier-league,2021,West Ham United,354900000,7 ,56
Premier-league,2021,Brighton & Hove Albion,318000000,9 ,51
Premier-league,2021,Newcastle United,313900000,11 ,49
Premier-league,2021,Leeds United,299450000,17 ,38
Premier-league,2021,FC Southampton,274300000,15 ,40
Premier-league,2021,FC Brentford,273300000,13 ,46
Premier-league,2021,Crystal Palace,271050000,12 ,48
Premier-league,2021,Norwich City,163200000,20 ,22
Premier-league,2021,FC Watford,156200000,19 ,23
Premier-league,2021,FC Burnley,138050000,18 ,35
Laliga,2011,FC Barcelona,618200000,2 ,91
Laliga,2011,Real Madrid,539200000,1 ,100
Laliga,2011,Atlético Madrid,210000000,5 ,56
Laliga,2011,FC Valencia,181000000,3 ,61
Laliga,2011,Athletic Bilbao,144200000,10 ,49
Laliga,2011,FC Villarreal,137000000,18 ,41
Laliga,2011,FC Sevilla,133000000,9 ,50
Laliga,2011,FC Málaga,121300000,4 ,58
Laliga,2011,Espanyol Barcelona,81200000,14 ,46
Laliga,2011,Real Sociedad San Sebastián,74700000,12 ,47
Laliga,2011,FC Getafe,70950000,11 ,47
Laliga,2011,RCD Mallorca,62200000,8 ,52
Laliga,2011,Real Saragossa,61000000,16 ,43
Laliga,2011,FC Granada,60600000,17 ,42
Laliga,2011,Sporting Gijón,53400000,19 ,37
Laliga,2011,Real Betis Sevilla,52700000,13 ,47
Laliga,2011,Rayo Vallecano,47300000,15 ,43
Laliga,2011,CA Osasuna,44400000,7 ,54
Laliga,2011,Racing Santander,42600000,20 ,27
Laliga,2011,UD Levante,40250000,6 ,55
Laliga,2012,FC Barcelona,586600000,1 ,100
Laliga,2012,Real Madrid,582400000,2 ,85
Laliga,2012,Atlético Madrid,267000000,3 ,76
Laliga,2012,FC Valencia,172900000,5 ,65
Laliga,2012,FC Sevilla,144800000,9 ,50
Laliga,2012,FC Málaga,122900000,6 ,57
Laliga,2012,Athletic Bilbao,119850000,12 ,45
Laliga,2012,Real Sociedad San Sebastián,113300000,4 ,66
Laliga,2012,FC Granada,72800000,15 ,42
Laliga,2012,FC Getafe,68300000,10 ,47
Laliga,2012,Real Betis Sevilla,66200000,7 ,56
Laliga,2012,Espanyol Barcelona,64100000,13 ,44
Laliga,2012,Rayo Vallecano,49750000,8 ,53
Laliga,2012,Celta Vigo,49100000,17 ,37
Laliga,2012,RCD Mallorca,47100000,18 ,36
Laliga,2012,Real Saragossa,46800000,20 ,34
Laliga,2012,CA Osasuna,46400000,16 ,39
Laliga,2012,Deportivo La Coruna,45600000,19 ,35
Laliga,2012,UD Levante,41100000,11 ,46
Laliga,2012,Real Valladolid,38800000,14 ,43
Laliga,2013,Real Madrid,636800000,3 ,87
Laliga,2013,FC Barcelona,592200000,2 ,87
Laliga,2013,Atlético Madrid,308800000,1 ,90
Laliga,2013,FC Valencia,178800000,8 ,49
Laliga,2013,FC Sevilla,141150000,5 ,63
Laliga,2013,Real Sociedad San Sebastián,136700000,7 ,59
Laliga,2013,Athletic Bilbao,130700000,4 ,70
Laliga,2013,FC Villarreal,77300000,6 ,59
Laliga,2013,FC Málaga,62500000,11 ,45
Laliga,2013,Real Betis Sevilla,58600000,20 ,25
Laliga,2013,FC Granada,57480000,15 ,41
Laliga,2013,FC Getafe,55900000,13 ,42
Laliga,2013,Espanyol Barcelona,51300000,14 ,42
Laliga,2013,Celta Vigo,49900000,9 ,49
Laliga,2013,Rayo Vallecano,46100000,12 ,43
Laliga,2013,FC Elche,44600000,16 ,40
Laliga,2013,UD Levante,42400000,10 ,48
Laliga,2013,CA Osasuna,42300000,18 ,39
Laliga,2013,Real Valladolid,41200000,19 ,36
Laliga,2013,UD Almería,36450000,17 ,40
Laliga,2014,Real Madrid,788800000,2 ,92
Laliga,2014,FC Barcelona,603800000,1 ,94
Laliga,2014,Atlético Madrid,356000000,3 ,78
Laliga,2014,FC Valencia,230000000,4 ,77
Laliga,2014,FC Sevilla,166750000,5 ,76
Laliga,2014,FC Villarreal,132700000,6 ,60
Laliga,2014,Athletic Bilbao,112100000,7 ,55
Laliga,2014,Real Sociedad San Sebastián,96800000,12 ,46
Laliga,2014,FC Málaga,82800000,9 ,50
Laliga,2014,Espanyol Barcelona,75700000,10 ,49
Laliga,2014,FC Granada,67550000,17 ,35
Laliga,2014,Celta Vigo,60400000,8 ,51
